shot_id,action_type,combined_shot_type,loc_x,loc_y,period,playoffs,time_remaining,shot_distance,shot_type,shot_zone_area,shot_zone_basic,game_date,home_away,opponent,target
1,0,0,167,72,1,0,627,18,0,2,0,1458,0,5,
8,0,0,1,28,3,0,485,2,0,0,1,1458,0,5,
17,2,1,0,0,1,0,1,0,0,0,1,1459,1,6,
20,2,1,0,0,3,0,646,0,0,0,1,1459,1,6,
33,0,0,163,76,1,0,686,17,0,2,0,1462,0,31,
34,0,0,70,194,1,0,658,20,0,1,0,1462,0,31,
35,1,1,1,19,1,0,453,1,0,0,1,1462,0,31,
36,1,1,-12,15,1,0,358,1,0,0,1,1462,0,31,
37,9,1,1,4,1,0,249,0,0,0,1,1462,0,31,
38,0,0,-117,116,2,0,333,16,0,3,0,1462,0,31,
45,1,1,-12,19,3,0,269,2,0,0,1,1462,0,31,
50,0,0,-176,30,4,0,199,17,0,4,0,1462,0,31,
55,0,0,-141,247,1,0,298,28,1,3,2,1463,1,9,
60,0,0,146,241,2,0,190,28,1,1,2,1463,1,9,
66,0,0,-10,91,4,0,613,9,0,0,3,1463,1,9,
67,0,0,-119,36,1,0,546,12,0,4,0,1465,0,2,
71,0,0,159,110,1,0,315,19,0,2,0,1465,0,2,
80,0,0,58,47,4,0,709,7,0,0,3,1465,0,2,
85,0,0,-29,70,1,0,588,7,0,0,3,1466,0,0,
86,3,0,-124,49,1,0,446,13,0,4,0,1466,0,0,
95,3,0,132,4,2,0,265,13,0,2,0,1466,0,0,
104,0,0,-101,137,3,0,256,17,0,3,0,1466,0,0,
113,0,0,-151,150,4,0,43,21,0,3,0,1466,0,0,
123,0,0,-155,53,2,0,160,16,0,4,0,1470,1,2,
126,5,0,-96,133,3,0,599,16,0,3,0,1470,1,2,
133,9,1,0,0,3,0,176,0,0,0,1,1470,1,2,
141,0,0,45,36,4,0,65,5,0,0,3,1470,1,2,
144,0,0,237,11,1,0,292,23,1,2,4,1472,1,4,
150,2,1,0,0,2,0,605,0,0,0,1,1472,1,4,
