shot_id,action_type,combined_shot_type,loc_x,loc_y,period,playoffs,time_remaining,shot_distance,shot_type,shot_zone_area,shot_zone_basic,game_date,home_away,opponent,target
2,0,0,-157,0,1,0,622,15,0,4,0,1458,0,5,0.0
3,0,0,-101,135,1,0,465,16,0,3,0,1458,0,5,1.0
4,0,0,138,175,1,0,412,22,0,1,0,1458,0,5,0.0
5,11,2,0,0,2,0,379,0,0,0,1,1458,0,5,1.0
6,0,0,-145,-11,3,0,572,14,0,4,0,1458,0,5,0.0
7,1,1,0,0,3,0,532,0,0,0,1,1458,0,5,1.0
9,0,0,-65,108,3,0,372,12,0,4,3,1458,0,5,1.0
10,5,0,-33,125,3,0,216,12,0,0,3,1458,0,5,0.0
11,0,0,-94,238,3,0,116,25,1,3,2,1458,0,5,0.0
12,0,0,121,127,1,0,660,17,0,1,0,1459,1,6,1.0
13,5,0,-67,110,1,0,429,12,0,4,3,1459,1,6,1.0
14,0,0,-94,4,1,0,164,9,0,4,0,1459,1,6,0.0
15,0,0,-23,47,1,0,76,5,0,0,3,1459,1,6,0.0
16,0,0,62,192,1,0,48,20,0,0,0,1459,1,6,0.0
18,0,0,-117,226,2,0,530,25,1,3,2,1459,1,6,1.0
19,0,0,-132,97,3,0,689,16,0,3,0,1459,1,6,0.0
21,0,0,3,144,3,0,608,14,0,0,0,1459,1,6,0.0
22,0,0,134,127,3,0,544,18,0,1,0,1459,1,6,0.0
23,5,0,-16,110,3,0,477,11,0,0,3,1459,1,6,1.0
24,5,0,-109,150,3,0,347,18,0,3,0,1459,1,6,1.0
25,5,0,-46,63,3,0,311,7,0,0,3,1459,1,6,1.0
26,1,1,0,0,3,0,156,0,0,0,1,1459,1,6,0.0
27,0,0,-58,196,3,0,124,20,0,0,0,1459,1,6,0.0
28,0,0,-183,186,3,0,30,26,1,3,2,1459,1,6,0.0
29,0,0,85,173,4,0,499,19,0,1,0,1459,1,6,0.0
30,0,0,3,87,4,0,382,8,0,0,3,1459,1,6,0.0
31,5,0,121,4,4,0,80,12,0,2,0,1459,1,6,1.0
32,0,0,127,34,4,0,30,13,0,2,0,1459,1,6,0.0
39,0,0,91,184,2,0,210,20,0,1,0,1462,0,31,1.0
40,0,0,-27,272,2,0,4,27,1,0,2,1462,0,31,1.0
41,0,0,-176,66,3,0,672,18,0,4,0,1462,0,31,0.0
42,1,1,7,4,3,0,613,0,0,0,1,1462,0,31,1.0
43,0,0,150,133,3,0,539,20,0,1,0,1462,0,31,1.0
44,0,0,49,15,3,0,509,5,0,0,3,1462,0,31,0.0
46,1,1,-4,4,3,0,201,0,0,0,1,1462,0,31,1.0
47,21,2,-4,4,3,0,175,0,0,0,1,1462,0,31,0.0
48,8,2,1,9,3,0,158,0,0,0,1,1462,0,31,1.0
49,0,0,121,120,4,0,295,17,0,1,0,1462,0,31,1.0
51,1,1,1,9,4,0,68,0,0,0,1,1462,0,31,0.0
52,1,1,-12,9,4,0,66,1,0,0,1,1462,0,31,0.0
53,0,0,24,70,1,0,633,7,0,0,3,1463,1,9,0.0
54,0,0,-189,-4,1,0,604,18,0,4,0,1463,1,9,0.0
56,0,0,-155,194,1,0,153,24,1,3,2,1463,1,9,0.0
57,0,0,1,228,2,0,686,22,1,0,0,1463,1,9,1.0
58,2,1,0,0,2,0,520,0,0,0,1,1463,1,9,1.0
59,8,2,0,0,2,0,245,0,0,0,1,1463,1,9,1.0
61,0,0,-33,108,2,0,122,11,0,0,3,1463,1,9,0.0
62,1,1,22,49,2,0,47,5,0,0,3,1463,1,9,1.0
63,2,1,0,0,3,0,572,0,0,0,1,1463,1,9,0.0
64,2,1,56,21,3,0,37,5,0,0,3,1463,1,9,0.0
65,5,0,121,26,3,0,1,12,0,2,0,1463,1,9,1.0
68,0,0,231,57,1,0,497,23,1,2,4,1465,0,2,0.0
69,2,1,0,0,1,0,473,0,0,0,1,1465,0,2,1.0
70,11,2,0,0,1,0,421,0,0,0,1,1465,0,2,1.0
72,0,0,7,257,1,0,191,25,1,0,2,1465,0,2,1.0
73,2,1,0,0,2,0,476,0,0,0,1,1465,0,2,1.0
74,0,0,51,57,2,0,160,7,0,0,3,1465,0,2,0.0
75,0,0,167,190,2,0,10,25,1,1,2,1465,0,2,0.0
76,0,0,-119,190,3,0,662,22,0,3,0,1465,0,2,1.0
77,0,0,16,57,3,0,550,5,0,0,3,1465,0,2,0.0
78,0,0,-84,110,3,0,444,13,0,4,0,1465,0,2,0.0
79,0,0,-71,42,3,0,1,8,0,4,3,1465,0,2,0.0
81,0,0,30,133,4,0,301,13,0,0,3,1465,0,2,1.0
82,0,0,1,156,4,0,46,15,0,0,0,1465,0,2,0.0
83,0,0,132,211,1,0,701,24,1,1,2,1466,0,0,0.0
84,8,2,-8,4,1,0,659,0,0,0,1,1466,0,0,0.0
87,0,0,132,127,1,0,396,18,0,1,0,1466,0,0,1.0
88,0,0,-29,188,1,0,354,19,0,0,0,1466,0,0,1.0
89,0,0,140,76,1,0,144,15,0,2,0,1466,0,0,1.0
90,3,0,140,0,1,0,108,14,0,2,0,1466,0,0,1.0
91,0,0,-1,156,1,0,85,15,0,0,0,1466,0,0,1.0
92,0,0,-151,4,1,0,47,15,0,4,0,1466,0,0,1.0
93,0,0,110,76,2,0,657,13,0,2,0,1466,0,0,0.0
94,0,0,132,87,2,0,577,15,0,2,0,1466,0,0,0.0
96,0,0,-58,251,2,0,230,25,1,0,2,1466,0,0,1.0
97,0,0,-94,160,2,0,195,18,0,3,0,1466,0,0,1.0
98,0,0,-193,150,2,0,53,24,1,3,2,1466,0,0,0.0
99,0,0,140,0,2,0,48,14,0,2,0,1466,0,0,1.0
100,0,0,39,9,3,0,686,4,0,0,3,1466,0,0,0.0
101,0,0,24,150,3,0,560,15,0,0,0,1466,0,0,0.0
102,8,2,-1,0,3,0,473,0,0,0,1,1466,0,0,1.0
103,0,0,119,133,3,0,400,17,0,1,0,1466,0,0,1.0
105,0,0,119,19,3,0,180,12,0,2,0,1466,0,0,0.0
106,0,0,-193,42,3,0,48,19,0,4,0,1466,0,0,0.0
107,0,0,-166,55,3,0,21,17,0,4,0,1466,0,0,0.0
108,0,0,24,116,4,0,639,11,0,0,3,1466,0,0,0.0
109,0,0,-65,156,4,0,428,16,0,3,0,1466,0,0,0.0
110,3,0,-166,26,4,0,385,16,0,4,0,1466,0,0,1.0
111,0,0,-58,76,4,0,314,9,0,4,3,1466,0,0,0.0
112,0,0,-37,70,4,0,218,7,0,0,3,1466,0,0,0.0
114,0,0,-94,188,1,0,669,21,0,3,0,1470,1,2,0.0
115,2,1,0,0,1,0,617,0,0,0,1,1470,1,2,0.0
116,9,1,0,0,1,0,563,0,0,0,1,1470,1,2,0.0
117,13,3,0,0,1,0,561,0,0,0,1,1470,1,2,0.0
118,8,2,0,0,1,0,182,0,0,0,1,1470,1,2,1.0
119,2,1,0,0,1,0,44,0,0,0,1,1470,1,2,1.0
120,0,0,85,141,1,0,21,16,0,1,0,1470,1,2,0.0
121,0,0,-88,158,2,0,530,18,0,3,0,1470,1,2,1.0
122,11,2,0,0,2,0,498,0,0,0,1,1470,1,2,1.0
124,27,4,0,0,2,0,30,0,0,0,1,1470,1,2,1.0
125,0,0,1,276,2,0,4,27,1,0,2,1470,1,2,1.0
127,0,0,155,-8,3,0,518,15,0,2,0,1470,1,2,1.0
128,0,0,-155,13,3,0,318,15,0,4,0,1470,1,2,1.0
129,0,0,-84,133,3,0,274,15,0,4,0,1470,1,2,0.0
130,0,0,-178,-8,3,0,231,17,0,4,0,1470,1,2,0.0
131,0,0,16,89,3,0,220,9,0,0,3,1470,1,2,0.0
132,0,0,-48,106,3,0,213,11,0,0,3,1470,1,2,1.0
134,0,0,-170,13,3,0,125,17,0,4,0,1470,1,2,0.0
135,0,0,-119,133,3,0,14,17,0,3,0,1470,1,2,0.0
136,0,0,9,40,4,0,652,4,0,0,3,1470,1,2,0.0
137,0,0,-84,82,4,0,394,11,0,4,0,1470,1,2,0.0
138,0,0,9,59,4,0,297,5,0,0,3,1470,1,2,0.0
139,11,2,0,0,4,0,208,0,0,0,1,1470,1,2,1.0
140,5,0,9,59,4,0,98,5,0,0,3,1470,1,2,1.0
142,13,3,0,0,4,0,63,0,0,0,1,1470,1,2,0.0
143,2,1,0,0,1,0,463,0,0,0,1,1472,1,4,0.0
145,14,2,0,0,1,0,188,0,0,0,1,1472,1,4,1.0
146,0,0,129,-4,1,0,145,12,0,2,0,1472,1,4,1.0
147,0,0,-98,97,1,0,48,13,0,4,0,1472,1,4,1.0
148,0,0,167,78,2,0,676,18,0,2,0,1472,1,4,0.0
149,0,0,108,249,2,0,619,27,1,1,2,1472,1,4,0.0
151,5,0,100,175,2,0,547,20,0,1,0,1472,1,4,1.0
154,1,1,0,0,2,0,114,0,0,0,1,1472,1,4,0.0
155,2,1,0,0,2,0,28,0,0,0,1,1472,1,4,0.0
157,0,0,115,169,3,0,623,20,0,1,0,1472,1,4,0.0
158,0,0,1,72,3,0,323,7,0,0,3,1472,1,4,0.0
160,11,2,0,0,3,0,37,0,0,0,1,1472,1,4,1.0
161,0,0,113,230,4,0,703,25,1,1,2,1472,1,4,1.0
162,1,1,0,0,4,0,628,0,0,0,1,1472,1,4,1.0
163,8,2,0,0,4,0,611,0,0,0,1,1472,1,4,1.0
164,1,1,0,0,4,0,337,0,0,0,1,1472,1,4,0.0
166,0,0,98,194,1,0,702,21,0,1,0,1474,0,3,1.0
167,0,0,-117,184,1,0,667,21,0,3,0,1474,0,3,0.0
168,0,0,-168,-2,1,0,533,16,0,4,0,1474,0,3,0.0
169,0,0,70,36,1,0,496,7,0,0,3,1474,0,3,0.0
170,2,1,0,0,1,0,463,0,0,0,1,1474,0,3,0.0
171,0,0,-37,42,1,0,167,5,0,0,3,1474,0,3,1.0
173,0,0,163,116,1,0,65,20,0,2,0,1474,0,3,0.0
174,0,0,113,179,2,0,493,21,0,1,0,1474,0,3,1.0
175,0,0,169,-2,2,0,387,16,0,2,0,1474,0,3,1.0
176,0,0,91,156,2,0,52,18,0,1,0,1474,0,3,0.0
